"STATISTIC CODE","Statistic","TLIST(A1)","Year","LGD2014","Local Government District 2014","UNIT","VALUE"
"BCOUNTS","Number of Businesses","2013","2013","N09000001","Antrim and Newtownabbey","Number","3850"
"BCOUNTS","Number of Businesses","2013","2013","N09000002","Armagh City, Banbridge and Craigavon","Number","7870"
"BCOUNTS","Number of Businesses","2013","2013","N09000003","Belfast","Number","9620"
"BCOUNTS","Number of Businesses","2013","2013","N09000004","Causeway Coast and Glens","Number","5595"
"BCOUNTS","Number of Businesses","2013","2013","N09000005","Derry City and Strabane","Number","4500"
"BCOUNTS","Number of Businesses","2013","2013","N09000006","Fermanagh and Omagh","Number","7355"
"BCOUNTS","Number of Businesses","2013","2013","N09000007","Lisburn and Castlereagh","Number","4380"
"BCOUNTS","Number of Businesses","2013","2013","N09000008","Mid and East Antrim","Number","4580"
"BCOUNTS","Number of Businesses","2013","2013","N09000009","Mid Ulster","Number","7990"
"BCOUNTS","Number of Businesses","2013","2013","N09000010","Newry, Mourne and Down","Number","7580"
"BCOUNTS","Number of Businesses","2013","2013","N09000011","Ards and North Down","Number","4430"
"BCOUNTS","Number of Businesses","2013","2013","N92000002","Northern Ireland","Number","67745"
"BCOUNTS","Number of Businesses","2014","2014","N09000001","Antrim and Newtownabbey","Number","3800"
"BCOUNTS","Number of Businesses","2014","2014","N09000002","Armagh City, Banbridge and Craigavon","Number","7810"
"BCOUNTS","Number of Businesses","2014","2014","N09000003","Belfast","Number","9820"
"BCOUNTS","Number of Businesses","2014","2014","N09000004","Causeway Coast and Glens","Number","5545"
"BCOUNTS","Number of Businesses","2014","2014","N09000005","Derry City and Strabane","Number","4580"
"BCOUNTS","Number of Businesses","2014","2014","N09000006","Fermanagh and Omagh","Number","7315"
"BCOUNTS","Number of Businesses","2014","2014","N09000007","Lisburn and Castlereagh","Number","4395"
"BCOUNTS","Number of Businesses","2014","2014","N09000008","Mid and East Antrim","Number","4530"
"BCOUNTS","Number of Businesses","2014","2014","N09000009","Mid Ulster","Number","7985"
"BCOUNTS","Number of Businesses","2014","2014","N09000010","Newry, Mourne and Down","Number","7575"
"BCOUNTS","Number of Businesses","2014","2014","N09000011","Ards and North Down","Number","4360"
"BCOUNTS","Number of Businesses","2014","2014","N92000002","Northern Ireland","Number","67710"
"BCOUNTS","Number of Businesses","2015","2015","N09000001","Antrim and Newtownabbey","Number","3815"
"BCOUNTS","Number of Businesses","2015","2015","N09000002","Armagh City, Banbridge and Craigavon","Number","7865"
"BCOUNTS","Number of Businesses","2015","2015","N09000003","Belfast","Number","9810"
"BCOUNTS","Number of Businesses","2015","2015","N09000004","Causeway Coast and Glens","Number","5510"
"BCOUNTS","Number of Businesses","2015","2015","N09000005","Derry City and Strabane","Number","4630"
"BCOUNTS","Number of Businesses","2015","2015","N09000006","Fermanagh and Omagh","Number","7435"
"BCOUNTS","Number of Businesses","2015","2015","N09000007","Lisburn and Castlereagh","Number","4420"
"BCOUNTS","Number of Businesses","2015","2015","N09000008","Mid and East Antrim","Number","4560"
"BCOUNTS","Number of Businesses","2015","2015","N09000009","Mid Ulster","Number","8000"
"BCOUNTS","Number of Businesses","2015","2015","N09000010","Newry, Mourne and Down","Number","7675"
"BCOUNTS","Number of Businesses","2015","2015","N09000011","Ards and North Down","Number","4360"
"BCOUNTS","Number of Businesses","2015","2015","N92000002","Northern Ireland","Number","68085"
"BCOUNTS","Number of Businesses","2016","2016","N09000001","Antrim and Newtownabbey","Number","3910"
"BCOUNTS","Number of Businesses","2016","2016","N09000002","Armagh City, Banbridge and Craigavon","Number","8100"
"BCOUNTS","Number of Businesses","2016","2016","N09000003","Belfast","Number","10100"
"BCOUNTS","Number of Businesses","2016","2016","N09000004","Causeway Coast and Glens","Number","5650"
"BCOUNTS","Number of Businesses","2016","2016","N09000005","Derry City and Strabane","Number","4830"
"BCOUNTS","Number of Businesses","2016","2016","N09000006","Fermanagh and Omagh","Number","7685"
"BCOUNTS","Number of Businesses","2016","2016","N09000007","Lisburn and Castlereagh","Number","4530"
"BCOUNTS","Number of Businesses","2016","2016","N09000008","Mid and East Antrim","Number","4665"
"BCOUNTS","Number of Businesses","2016","2016","N09000009","Mid Ulster","Number","8250"
"BCOUNTS","Number of Businesses","2016","2016","N09000010","Newry, Mourne and Down","Number","7880"
"BCOUNTS","Number of Businesses","2016","2016","N09000011","Ards and North Down","Number","4455"
"BCOUNTS","Number of Businesses","2016","2016","N92000002","Northern Ireland","Number","70055"
"BCOUNTS","Number of Businesses","2017","2017","N09000001","Antrim and Newtownabbey","Number","4020"
"BCOUNTS","Number of Businesses","2017","2017","N09000002","Armagh City, Banbridge and Craigavon","Number","8275"
"BCOUNTS","Number of Businesses","2017","2017","N09000003","Belfast","Number","10295"
"BCOUNTS","Number of Businesses","2017","2017","N09000004","Causeway Coast and Glens","Number","5760"
"BCOUNTS","Number of Businesses","2017","2017","N09000005","Derry City and Strabane","Number","4945"
"BCOUNTS","Number of Businesses","2017","2017","N09000006","Fermanagh and Omagh","Number","7780"
"BCOUNTS","Number of Businesses","2017","2017","N09000007","Lisburn and Castlereagh","Number","4640"
"BCOUNTS","Number of Businesses","2017","2017","N09000008","Mid and East Antrim","Number","4735"
"BCOUNTS","Number of Businesses","2017","2017","N09000009","Mid Ulster","Number","8505"
"BCOUNTS","Number of Businesses","2017","2017","N09000010","Newry, Mourne and Down","Number","8110"
"BCOUNTS","Number of Businesses","2017","2017","N09000011","Ards and North Down","Number","4555"
"BCOUNTS","Number of Businesses","2017","2017","N92000002","Northern Ireland","Number","71615"
"BCOUNTS","Number of Businesses","2018","2018","N09000001","Antrim and Newtownabbey","Number","4105"
"BCOUNTS","Number of Businesses","2018","2018","N09000002","Armagh City, Banbridge and Craigavon","Number","8555"
"BCOUNTS","Number of Businesses","2018","2018","N09000003","Belfast","Number","10560"
"BCOUNTS","Number of Businesses","2018","2018","N09000004","Causeway Coast and Glens","Number","5980"
"BCOUNTS","Number of Businesses","2018","2018","N09000005","Derry City and Strabane","Number","5120"
"BCOUNTS","Number of Businesses","2018","2018","N09000006","Fermanagh and Omagh","Number","8055"
"BCOUNTS","Number of Businesses","2018","2018","N09000007","Lisburn and Castlereagh","Number","4755"
"BCOUNTS","Number of Businesses","2018","2018","N09000008","Mid and East Antrim","Number","4875"
